"ID","Name","Description","Parent"
"spectrum:milestones/reveal_four_leaf_clover","spectrum:milestones/reveal_four_leaf_clover","<null>","-"
"spectrum:milestones/reveal_malachite","spectrum:milestones/reveal_malachite","<null>","-"
"spectrum:milestones/reveal_mermaids_brush","spectrum:milestones/reveal_mermaids_brush","<null>","-"
"spectrum:milestones/reveal_paltaeria","spectrum:milestones/reveal_paltaeria","<null>","-"
"spectrum:milestones/reveal_quitoxic_reeds","spectrum:milestones/reveal_quitoxic_reeds","<null>","-"
"spectrum:milestones/reveal_radiating_ender","spectrum:milestones/reveal_radiating_ender","<null>","-"
"spectrum:milestones/reveal_shimmerstone","spectrum:milestones/reveal_shimmerstone","<null>","-"
"spectrum:milestones/reveal_storm_stones","spectrum:milestones/reveal_storm_stones","<null>","-"
"spectrum:milestones/reveal_stratine","spectrum:milestones/reveal_stratine","<null>","-"
"spectrum:milestones/unlock_conflicted_enchanting_with_enchanter","spectrum:milestones/unlock_conflicted_enchanting_with_enchanter","<null>","-"
"spectrum:milestones/unlock_fourth_potion_workshop_reagent_slot","spectrum:milestones/unlock_fourth_potion_workshop_reagent_slot","<null>","-"
"spectrum:milestones/unlock_hostile_memorizing","spectrum:milestones/unlock_hostile_memorizing","<null>","-"
"spectrum:milestones/unlock_ink_use","spectrum:milestones/unlock_ink_use","<null>","-"
"spectrum:milestones/unlock_overenchanting_with_enchanter","spectrum:milestones/unlock_overenchanting_with_enchanter","<null>","-"
"spectrum:milestones/unlock_pastel_node_upgrading","spectrum:milestones/unlock_pastel_node_upgrading","<null>","-"
"spectrum:milestones/unlock_remembering_boss_memories","spectrum:milestones/unlock_remembering_boss_memories","<null>","-"
"spectrum:milestones/unlock_shooting_stars","spectrum:milestones/unlock_shooting_stars","<null>","-"
"spectrum:milestones/unlock_spawner_creature_change","spectrum:milestones/unlock_spawner_creature_change","<null>","-"
"spectrum:milestones/unlock_spawner_manipulation","spectrum:milestones/unlock_spawner_manipulation","<null>","-"
"spectrum:place_incandescent_amalgam","[Okay, now... what?]","Incandescent Amalgam is a high yield explosive that is triggered by the slightest force of any kind and leaves behind a gigantic, burning crater. Good luck.","spectrum:tap_titration_barrel"
"spectrum:place_moonstone_in_preservation_ruins","[A Symbol of Healing]","Restore an ancient Shrine","spectrum:solve_dike_gate_preservation_ruin"
"spectrum:place_pedestal","[A new way to craft]","Craft your personal Pigment Pedestal and place it down","spectrum:collect_any_basic_shard"
"spectrum:pluck_effulgent_feather","[RUN]","§lOH GOD OH FUCK OH GOD OH FUCK OH GOD OH FUCK","spectrum:remember_kindling"
"spectrum:remember_kindling","[False Idols]","Try and fail to reinstate the age of divine dragons - and end up with something better!","spectrum:break_cracked_dragonbone"
"spectrum:revive_dead_bush","[Revivify]","Use the Nature's Staff and Vegetal on a Dead Bush to bring it back to Life","spectrum:collect_all_basic_pigments"
"spectrum:solve_color_mixing_preservation_ruin","[Assorted Colors]","A structure guarded by a clever puzzle... no more","spectrum:enter_color_mixing_preservation_ruin"
"spectrum:solve_dike_gate_preservation_ruin","[Pervaded]","A structure shielded by a mysterious protective field... no more","spectrum:enter_dike_gate_preservation_ruin"
"spectrum:solve_wireless_redstone_preservation_ruin","[Remote Connected]","A structure protected by solid Bedrock... no more","spectrum:enter_wireless_redstone_preservation_ruin"
"spectrum:spectrum","[Spectrum - Start of a Journey]","A story about magic, color and chaos","-"
"spectrum:start_crafting_time_consuming_pedestal_recipe","[Being Paintient]","Remember that you can use Upgrades to speed up your lengthy crafting processes","spectrum:craft_using_pedestal"
"spectrum:survive_drinking_incandescent_amalgam","[I was the Sun, Once]","Survive the damage dealt to you when drinking Incandescent Amalgam","spectrum:place_incandescent_amalgam"
"spectrum:tap_aged_air","[A whole Lot of Nothing]","Tap a Titration Barrel sealed over multiple days with nothing inside","spectrum:tap_titration_barrel"
"spectrum:tap_mermaids_jam","[Just Jammin']","Discover how to craft Mermaid's Jam","spectrum:tap_titration_barrel"
"spectrum:tap_poisonous_vodka","[Tastes like Organ Failure]","Tap Poisonous Vodka. Cheers!","spectrum:tap_titration_barrel"
"spectrum:tap_pure_alcohol","[Kinda high Percentage]","Let a Titration Barrel ferment for so long the content turned into Pure Alcohol","spectrum:tap_titration_barrel"
"spectrum:tap_suspicious_brew","[Not a Cow's Udder Juice]","Brew a Suspicious Brew","spectrum:tap_titration_barrel"
"spectrum:tap_titration_barrel","[Cracking open a Cold One]","Open up a Titration Barrel and tap yourself to a refreshing (or not so refreshing) drink","spectrum:collect_pigment"
"spectrum:triggers/confirmed_drinking_age","spectrum:triggers/confirmed_drinking_age","<null>","-"
"spectrum:triggers/hints/amethyst_page0","spectrum:triggers/hints/amethyst_page0","<null>","-"
"spectrum:triggers/hints/azurite_page0","spectrum:triggers/hints/azurite_page0","<null>","-"
"spectrum:triggers/hints/azurite_page1","spectrum:triggers/hints/azurite_page1","<null>","-"
"spectrum:triggers/hints/citrine_page0","spectrum:triggers/hints/citrine_page0","<null>","-"
"spectrum:triggers/hints/clover_page0","spectrum:triggers/hints/clover_page0","<null>","-"
"spectrum:triggers/hints/clover_page1","spectrum:triggers/hints/clover_page1","<null>","-"
"spectrum:triggers/hints/downstone_fragments_page0","spectrum:triggers/hints/downstone_fragments_page0","<null>","-"
"spectrum:triggers/hints/downstone_fragments_page1","spectrum:triggers/hints/downstone_fragments_page1","<null>","-"
"spectrum:triggers/hints/dragonbone_page0","spectrum:triggers/hints/dragonbone_page0","<null>","-"
"spectrum:triggers/hints/dragonbone_page1","spectrum:triggers/hints/dragonbone_page1","<null>","-"
"spectrum:triggers/hints/fading_page0","spectrum:triggers/hints/fading_page0","<null>","-"
"spectrum:triggers/hints/fading_page1","spectrum:triggers/hints/fading_page1","<null>","-"
"spectrum:triggers/hints/failing_page0","spectrum:triggers/hints/failing_page0","<null>","-"
"spectrum:triggers/hints/failing_page1","spectrum:triggers/hints/failing_page1","<null>","-"
"spectrum:triggers/hints/malachite_page0","spectrum:triggers/hints/malachite_page0","<null>","-"
"spectrum:triggers/hints/malachite_page1","spectrum:triggers/hints/malachite_page1","<null>","-"
"spectrum:triggers/hints/mermaids_gems_page0","spectrum:triggers/hints/mermaids_gems_page0","<null>","-"
"spectrum:triggers/hints/mermaids_gems_page1","spectrum:triggers/hints/mermaids_gems_page1","<null>","-"
"spectrum:triggers/hints/midnight_chip_page0","spectrum:triggers/hints/midnight_chip_page0","<null>","-"
"spectrum:triggers/hints/midnight_chip_page1","spectrum:triggers/hints/midnight_chip_page1","<null>","-"
"spectrum:triggers/hints/moonstone_cores_page0","spectrum:triggers/hints/moonstone_cores_page0","<null>","-"
"spectrum:triggers/hints/moonstone_cores_page1","spectrum:triggers/hints/moonstone_cores_page1","<null>","-"
"spectrum:triggers/hints/nightdew_sprout_page0","spectrum:triggers/hints/nightdew_sprout_page0","<null>","-"
"spectrum:triggers/hints/nightdew_sprout_page1","spectrum:triggers/hints/nightdew_sprout_page1","<null>","-"
"spectrum:triggers/hints/paltaeria_page0","spectrum:triggers/hints/paltaeria_page0","<null>","-"
"spectrum:triggers/hints/paltaeria_page1","spectrum:triggers/hints/paltaeria_page1","<null>","-"
"spectrum:triggers/hints/preservation_ruins_page0","spectrum:triggers/hints/preservation_ruins_page0","<null>","-"
"spectrum:triggers/hints/preservation_ruins_page1","spectrum:triggers/hints/preservation_ruins_page1","<null>","-"
"spectrum:triggers/hints/preservation_ruins_page2","spectrum:triggers/hints/preservation_ruins_page2","<null>","-"
"spectrum:triggers/hints/preservation_ruins_page3","spectrum:triggers/hints/preservation_ruins_page3","<null>","-"
"spectrum:triggers/hints/quitoxic_reeds_page0","spectrum:triggers/hints/quitoxic_reeds_page0","<null>","-"
"spectrum:triggers/hints/quitoxic_reeds_page1","spectrum:triggers/hints/quitoxic_reeds_page1","<null>","-"
"spectrum:triggers/hints/radiating_ender_page0","spectrum:triggers/hints/radiating_ender_page0","<null>","-"
"spectrum:triggers/hints/radiating_ender_page1","spectrum:triggers/hints/radiating_ender_page1","<null>","-"
"spectrum:triggers/hints/resonance_shards_page0","spectrum:triggers/hints/resonance_shards_page0","<null>","-"
"spectrum:triggers/hints/resonance_shards_page1","spectrum:triggers/hints/resonance_shards_page1","<null>","-"
"spectrum:triggers/hints/resonant_lily_page0","spectrum:triggers/hints/resonant_lily_page0","<null>","-"
"spectrum:triggers/hints/resonant_lily_page1","spectrum:triggers/hints/resonant_lily_page1","<null>","-"
"spectrum:triggers/hints/ruin_page0","spectrum:triggers/hints/ruin_page0","<null>","-"
"spectrum:triggers/hints/ruin_page1","spectrum:triggers/hints/ruin_page1","<null>","-"
"spectrum:triggers/hints/shimmerstone_page0","spectrum:triggers/hints/shimmerstone_page0","<null>","-"
"spectrum:triggers/hints/shimmerstone_page1","spectrum:triggers/hints/shimmerstone_page1","<null>","-"
"spectrum:triggers/hints/stargazing_page0","spectrum:triggers/hints/stargazing_page0","<null>","-"
"spectrum:triggers/hints/stargazing_page1","spectrum:triggers/hints/stargazing_page1","<null>","-"
"spectrum:triggers/hints/storm_stones_page0","spectrum:triggers/hints/storm_stones_page0","<null>","-"
"spectrum:triggers/hints/storm_stones_page1","spectrum:triggers/hints/storm_stones_page1","<null>","-"
"spectrum:triggers/hints/stratine_page0","spectrum:triggers/hints/stratine_page0","<null>","-"
"spectrum:triggers/hints/stratine_page1","spectrum:triggers/hints/stratine_page1","<null>","-"
"spectrum:triggers/hints/topaz_page0","spectrum:triggers/hints/topaz_page0","<null>","-"
"spectrum:unlocks/ampoules/raw_azurite_ampoule","spectrum:unlocks/ampoules/raw_azurite_ampoule","<null>","-"
"spectrum:unlocks/ampoules/raw_bloodstone_ampoule","spectrum:unlocks/ampoules/raw_bloodstone_ampoule","<null>","-"
"spectrum:unlocks/ampoules/raw_malachite_ampoule","spectrum:unlocks/ampoules/raw_malachite_ampoule","<null>","-"
"spectrum:unlocks/ampoules/refined_azurite_ampoule","spectrum:unlocks/ampoules/refined_azurite_ampoule","<null>","-"
"spectrum:unlocks/ampoules/refined_bloodstone_ampoule","spectrum:unlocks/ampoules/refined_bloodstone_ampoule","<null>","-"
"spectrum:unlocks/ampoules/refined_malachite_ampoule","spectrum:unlocks/ampoules/refined_malachite_ampoule","<null>","-"
"spectrum:unlocks/blocks/black_hole_chest","spectrum:unlocks/blocks/black_hole_chest","<null>","-"
"spectrum:unlocks/blocks/blackslag_shimmerstone_light","spectrum:unlocks/blocks/blackslag_shimmerstone_light","<null>","-"
"spectrum:unlocks/blocks/block_flooder","spectrum:unlocks/blocks/block_flooder","<null>","-"
"spectrum:unlocks/blocks/blood_orchid","spectrum:unlocks/blocks/blood_orchid","<null>","-"
"spectrum:unlocks/blocks/budding_onyx","spectrum:unlocks/blocks/budding_onyx","<null>","-"
"spectrum:unlocks/blocks/cinderhearth","spectrum:unlocks/blocks/cinderhearth","<null>","-"
"spectrum:unlocks/blocks/cmy_pedestal","spectrum:unlocks/blocks/cmy_pedestal","<null>","-"
"spectrum:unlocks/blocks/color_picker","spectrum:unlocks/blocks/color_picker","<null>","-"
"spectrum:unlocks/blocks/colored_spore_blossoms","spectrum:unlocks/blocks/colored_spore_blossoms","<null>","-"
"spectrum:unlocks/blocks/compacting_chest","spectrum:unlocks/blocks/compacting_chest","<null>","-"
"spectrum:unlocks/blocks/crystal_apothecary","spectrum:unlocks/blocks/crystal_apothecary","<null>","-"
"spectrum:unlocks/blocks/crystallarieum","spectrum:unlocks/blocks/crystallarieum","<null>","-"
"spectrum:unlocks/blocks/dragonrot_bucket","spectrum:unlocks/blocks/dragonrot_bucket","<null>","-"
"spectrum:unlocks/blocks/egg_laying_wooly_pig_head","spectrum:unlocks/blocks/egg_laying_wooly_pig_head","<null>","-"
"spectrum:unlocks/blocks/enchanter","spectrum:unlocks/blocks/enchanter","<null>","-"
"spectrum:unlocks/blocks/ender_blocks","spectrum:unlocks/blocks/ender_blocks","<null>","-"
"spectrum:unlocks/blocks/ender_glass","spectrum:unlocks/blocks/ender_glass","<null>","-"
"spectrum:unlocks/blocks/ethereal_platform","spectrum:unlocks/blocks/ethereal_platform","<null>","-"
"spectrum:unlocks/blocks/fusion_shrine","spectrum:unlocks/blocks/fusion_shrine","<null>","-"
"spectrum:unlocks/blocks/heartbound_chest","spectrum:unlocks/blocks/heartbound_chest","<null>","-"
"spectrum:unlocks/blocks/idols","spectrum:unlocks/blocks/idols","<null>","-"
"spectrum:unlocks/blocks/item_bowl","spectrum:unlocks/blocks/item_bowl","<null>","-"
"spectrum:unlocks/blocks/item_roundel","spectrum:unlocks/blocks/item_roundel","<null>","-"
"spectrum:unlocks/blocks/kindling_memory","spectrum:unlocks/blocks/kindling_memory","<null>","-"
"spectrum:unlocks/blocks/lava_sponge","spectrum:unlocks/blocks/lava_sponge","<null>","-"
"spectrum:unlocks/blocks/liquid_crystal","spectrum:unlocks/blocks/liquid_crystal","<null>","-"
"spectrum:unlocks/blocks/memories","spectrum:unlocks/blocks/memories","<null>","-"
"spectrum:unlocks/blocks/memories_via_mob_head","spectrum:unlocks/blocks/memories_via_mob_head","<null>","-"
"spectrum:unlocks/blocks/midnight_aberration","spectrum:unlocks/blocks/midnight_aberration","<null>","-"
"spectrum:unlocks/blocks/midnight_solution","spectrum:unlocks/blocks/midnight_solution","<null>","-"
"spectrum:unlocks/blocks/mob_heads","spectrum:unlocks/blocks/mob_heads","<null>","-"
"spectrum:unlocks/blocks/modular_explosives","spectrum:unlocks/blocks/modular_explosives","<null>","-"
"spectrum:unlocks/blocks/moonstone_semi_permeable_glass","spectrum:unlocks/blocks/moonstone_semi_permeable_glass","<null>","-"
"spectrum:unlocks/blocks/mud","spectrum:unlocks/blocks/mud","<null>","-"
"spectrum:unlocks/blocks/ominous_sapling","spectrum:unlocks/blocks/ominous_sapling","<null>","-"
"spectrum:unlocks/blocks/particle_spawner","spectrum:unlocks/blocks/particle_spawner","<null>","-"
"spectrum:unlocks/blocks/pastel_network","spectrum:unlocks/blocks/pastel_network","<null>","-"
"spectrum:unlocks/blocks/potion_workshop","spectrum:unlocks/blocks/potion_workshop","<null>","-"
"spectrum:unlocks/blocks/present","spectrum:unlocks/blocks/present","<null>","-"
"spectrum:unlocks/blocks/radiant_glass","spectrum:unlocks/blocks/radiant_glass","<null>","-"
"spectrum:unlocks/blocks/restocking_chest","spectrum:unlocks/blocks/restocking_chest","<null>","-"
"spectrum:unlocks/blocks/shimmerstone_lights","spectrum:unlocks/blocks/shimmerstone_lights","<null>","-"
"spectrum:unlocks/blocks/spirit_instiller","spectrum:unlocks/blocks/spirit_instiller","<null>","-"
"spectrum:unlocks/blocks/titration_barrel","spectrum:unlocks/blocks/titration_barrel","<null>","-"
"spectrum:unlocks/blocks/universe_spyhole","spectrum:unlocks/blocks/universe_spyhole","<null>","-"
"spectrum:unlocks/colored_lamps/any_colored_lamp","spectrum:unlocks/colored_lamps/any_colored_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/black_lamp","spectrum:unlocks/colored_lamps/black_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/blue_lamp","spectrum:unlocks/colored_lamps/blue_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/brown_lamp","spectrum:unlocks/colored_lamps/brown_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/cyan_lamp","spectrum:unlocks/colored_lamps/cyan_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/gray_lamp","spectrum:unlocks/colored_lamps/gray_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/green_lamp","spectrum:unlocks/colored_lamps/green_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/light_blue_lamp","spectrum:unlocks/colored_lamps/light_blue_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/light_gray_lamp","spectrum:unlocks/colored_lamps/light_gray_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/lime_lamp","spectrum:unlocks/colored_lamps/lime_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/magenta_lamp","spectrum:unlocks/colored_lamps/magenta_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/orange_lamp","spectrum:unlocks/colored_lamps/orange_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/pink_lamp","spectrum:unlocks/colored_lamps/pink_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/purple_lamp","spectrum:unlocks/colored_lamps/purple_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/red_lamp","spectrum:unlocks/colored_lamps/red_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/white_lamp","spectrum:unlocks/colored_lamps/white_lamp","<null>","-"
"spectrum:unlocks/colored_lamps/yellow_lamp","spectrum:unlocks/colored_lamps/yellow_lamp","<null>","-"
"spectrum:unlocks/colored_saplings/black_sapling","spectrum:unlocks/colored_saplings/black_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/blue_sapling","spectrum:unlocks/colored_saplings/blue_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/brown_sapling","spectrum:unlocks/colored_saplings/brown_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/cyan_sapling","spectrum:unlocks/colored_saplings/cyan_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/gray_sapling","spectrum:unlocks/colored_saplings/gray_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/green_sapling","spectrum:unlocks/colored_saplings/green_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/light_blue_sapling","spectrum:unlocks/colored_saplings/light_blue_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/light_gray_sapling","spectrum:unlocks/colored_saplings/light_gray_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/lime_sapling","spectrum:unlocks/colored_saplings/lime_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/magenta_sapling","spectrum:unlocks/colored_saplings/magenta_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/orange_sapling","spectrum:unlocks/colored_saplings/orange_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/pink_sapling","spectrum:unlocks/colored_saplings/pink_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/purple_sapling","spectrum:unlocks/colored_saplings/purple_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/red_sapling","spectrum:unlocks/colored_saplings/red_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/white_sapling","spectrum:unlocks/colored_saplings/white_sapling","<null>","-"
"spectrum:unlocks/colored_saplings/yellow_sapling","spectrum:unlocks/colored_saplings/yellow_sapling","<null>","-"
"spectrum:unlocks/decostones/amethyst_decostone","spectrum:unlocks/decostones/amethyst_decostone","<null>","-"
"spectrum:unlocks/decostones/any_decostone","spectrum:unlocks/decostones/any_decostone","<null>","-"
"spectrum:unlocks/decostones/citrine_decostone","spectrum:unlocks/decostones/citrine_decostone","<null>","-"
"spectrum:unlocks/decostones/moonstone_decostone","spectrum:unlocks/decostones/moonstone_decostone","<null>","-"
"spectrum:unlocks/decostones/onyx_decostone","spectrum:unlocks/decostones/onyx_decostone","<null>","-"
"spectrum:unlocks/decostones/topaz_decostone","spectrum:unlocks/decostones/topaz_decostone","<null>","-"
"spectrum:unlocks/enchantments/autosmelt","spectrum:unlocks/enchantments/autosmelt","<null>","-"
"spectrum:unlocks/enchantments/big_catch","spectrum:unlocks/enchantments/big_catch","<null>","-"
"spectrum:unlocks/enchantments/clovers_favor","spectrum:unlocks/enchantments/clovers_favor","<null>","-"
"spectrum:unlocks/enchantments/disarming","spectrum:unlocks/enchantments/disarming","<null>","-"
"spectrum:unlocks/enchantments/exuberance","spectrum:unlocks/enchantments/exuberance","<null>","-"
"spectrum:unlocks/enchantments/first_strike","spectrum:unlocks/enchantments/first_strike","<null>","-"
"spectrum:unlocks/enchantments/improved_critical","spectrum:unlocks/enchantments/improved_critical","<null>","-"
"spectrum:unlocks/enchantments/indestructible","spectrum:unlocks/enchantments/indestructible","<null>","-"
"spectrum:unlocks/enchantments/inertia","spectrum:unlocks/enchantments/inertia","<null>","-"
"spectrum:unlocks/enchantments/inexorable","spectrum:unlocks/enchantments/inexorable","<null>","-"
"spectrum:unlocks/enchantments/inventory_insertion","spectrum:unlocks/enchantments/inventory_insertion","<null>","-"
"spectrum:unlocks/enchantments/pest_control","spectrum:unlocks/enchantments/pest_control","<null>","-"
"spectrum:unlocks/enchantments/razing_crafting","spectrum:unlocks/enchantments/razing_crafting","<null>","-"
"spectrum:unlocks/enchantments/razing_usage","spectrum:unlocks/enchantments/razing_usage","<null>","-"
"spectrum:unlocks/enchantments/resonance_crafting","spectrum:unlocks/enchantments/resonance_crafting","<null>","-"
"spectrum:unlocks/enchantments/resonance_usage","spectrum:unlocks/enchantments/resonance_usage","<null>","-"
"spectrum:unlocks/enchantments/serendipity_reel","spectrum:unlocks/enchantments/serendipity_reel","<null>","-"
"spectrum:unlocks/enchantments/sniper","spectrum:unlocks/enchantments/sniper","<null>","-"
"spectrum:unlocks/enchantments/steadfast","spectrum:unlocks/enchantments/steadfast","<null>","-"
"spectrum:unlocks/enchantments/tight_grip","spectrum:unlocks/enchantments/tight_grip","<null>","-"
"spectrum:unlocks/enchantments/treasure_hunter","spectrum:unlocks/enchantments/treasure_hunter","<null>","-"
"spectrum:unlocks/enchantments/vanilla_curses","spectrum:unlocks/enchantments/vanilla_curses","<null>","-"
"spectrum:unlocks/enchantments/vanilla_damage","spectrum:unlocks/enchantments/vanilla_damage","<null>","-"
"spectrum:unlocks/enchantments/vanilla_luck","spectrum:unlocks/enchantments/vanilla_luck","<null>","-"
"spectrum:unlocks/enchantments/vanilla_projectile","spectrum:unlocks/enchantments/vanilla_projectile","<null>","-"
"spectrum:unlocks/enchantments/vanilla_projectile_infinity","spectrum:unlocks/enchantments/vanilla_projectile_infinity","<null>","-"
"spectrum:unlocks/enchantments/vanilla_protection","spectrum:unlocks/enchantments/vanilla_protection","<null>","-"
"spectrum:unlocks/enchantments/vanilla_quitoxic","spectrum:unlocks/enchantments/vanilla_quitoxic","<null>","-"
"spectrum:unlocks/enchantments/vanilla_silk_touch","spectrum:unlocks/enchantments/vanilla_silk_touch","<null>","-"
"spectrum:unlocks/enchantments/vanilla_swift_sneak","spectrum:unlocks/enchantments/vanilla_swift_sneak","<null>","-"
"spectrum:unlocks/enchantments/vanilla_treasure","spectrum:unlocks/enchantments/vanilla_treasure","<null>","-"
"spectrum:unlocks/enchantments/vanilla_trident","spectrum:unlocks/enchantments/vanilla_trident","<null>","-"
"spectrum:unlocks/enchantments/vanilla_trident_channeling","spectrum:unlocks/enchantments/vanilla_trident_channeling","<null>","-"
"spectrum:unlocks/enchantments/vanilla_unbreaking","spectrum:unlocks/enchantments/vanilla_unbreaking","<null>","-"
"spectrum:unlocks/enchantments/vanilla_water","spectrum:unlocks/enchantments/vanilla_water","<null>","-"
"spectrum:unlocks/enchantments/vanilla_water_luck","spectrum:unlocks/enchantments/vanilla_water_luck","<null>","-"
"spectrum:unlocks/enchantments/voiding_crafting","spectrum:unlocks/enchantments/voiding_crafting","<null>","-"
"spectrum:unlocks/enchantments/voiding_usage","spectrum:unlocks/enchantments/voiding_usage","<null>","-"
"spectrum:unlocks/equipment/any_preenchanted_tool","spectrum:unlocks/equipment/any_preenchanted_tool","<null>","-"
"spectrum:unlocks/equipment/bedrock_tools","spectrum:unlocks/equipment/bedrock_tools","<null>","-"
"spectrum:unlocks/equipment/draconic_twinsword","spectrum:unlocks/equipment/draconic_twinsword","<null>","-"
"spectrum:unlocks/equipment/dragonrending_pickaxe","spectrum:unlocks/equipment/dragonrending_pickaxe","<null>","-"
"spectrum:unlocks/equipment/dreamflayer","spectrum:unlocks/equipment/dreamflayer","<null>","-"
"spectrum:unlocks/equipment/gemstone_armor_category","spectrum:unlocks/equipment/gemstone_armor_category","<null>","-"
"spectrum:unlocks/equipment/knotted_sword","spectrum:unlocks/equipment/knotted_sword","<null>","-"
"spectrum:unlocks/equipment/lagoon_rod","spectrum:unlocks/equipment/lagoon_rod","<null>","-"
"spectrum:unlocks/equipment/lucky_pickaxe","spectrum:unlocks/equipment/lucky_pickaxe","<null>","-"
"spectrum:unlocks/equipment/molten_rod","spectrum:unlocks/equipment/molten_rod","<null>","-"
"spectrum:unlocks/equipment/nectar_lance","spectrum:unlocks/equipment/nectar_lance","<null>","-"
"spectrum:unlocks/equipment/nightfalls_blade","spectrum:unlocks/equipment/nightfalls_blade","<null>","-"
"spectrum:unlocks/equipment/oblivion_pickaxe","spectrum:unlocks/equipment/oblivion_pickaxe","<null>","-"
"spectrum:unlocks/equipment/omni_accelerator","spectrum:unlocks/equipment/omni_accelerator","<null>","-"
"spectrum:unlocks/equipment/razor_falchion","spectrum:unlocks/equipment/razor_falchion","<null>","-"
"spectrum:unlocks/equipment/resonant_pickaxe","spectrum:unlocks/equipment/resonant_pickaxe","<null>","-"
"spectrum:unlocks/equipment/soothing_bouquet","spectrum:unlocks/equipment/soothing_bouquet","<null>","-"
"spectrum:unlocks/equipment/tender_pickaxe","spectrum:unlocks/equipment/tender_pickaxe","<null>","-"
"spectrum:unlocks/food/azalea_tea","spectrum:unlocks/food/azalea_tea","<null>","-"
"spectrum:unlocks/food/bodacious_berry_bar","spectrum:unlocks/food/bodacious_berry_bar","<null>","-"
"spectrum:unlocks/food/camomillesque","spectrum:unlocks/food/camomillesque","<null>","-"
"spectrum:unlocks/food/cheong","spectrum:unlocks/food/cheong","<null>","-"
"spectrum:unlocks/food/demon_tea","spectrum:unlocks/food/demon_tea","<null>","-"
"spectrum:unlocks/food/demon_trifle","spectrum:unlocks/food/demon_trifle","<null>","-"
"spectrum:unlocks/food/dragonbone_broth","spectrum:unlocks/food/dragonbone_broth","<null>","-"
"spectrum:unlocks/food/fissure_plum_titration","spectrum:unlocks/food/fissure_plum_titration","<null>","-"
"spectrum:unlocks/food/freigeist","spectrum:unlocks/food/freigeist","<null>","-"
"spectrum:unlocks/food/gatorwine","spectrum:unlocks/food/gatorwine","<null>","-"
"spectrum:unlocks/food/gin","spectrum:unlocks/food/gin","<null>","-"
"spectrum:unlocks/food/glass_peach_titration","spectrum:unlocks/food/glass_peach_titration","<null>","-"
"spectrum:unlocks/food/glistering_jelly_tea","spectrum:unlocks/food/glistering_jelly_tea","<null>","-"
"spectrum:unlocks/food/honey","spectrum:unlocks/food/honey","<null>","-"
"spectrum:unlocks/food/jade_wine","spectrum:unlocks/food/jade_wine","<null>","-"
"spectrum:unlocks/food/jaramel","spectrum:unlocks/food/jaramel","<null>","-"
"spectrum:unlocks/food/karak_chai","spectrum:unlocks/food/karak_chai","<null>","-"
"spectrum:unlocks/food/lucky_roll","spectrum:unlocks/food/lucky_roll","<null>","-"
"spectrum:unlocks/food/mermaids_popcorn","spectrum:unlocks/food/mermaids_popcorn","<null>","-"
"spectrum:unlocks/food/mint_beverages","spectrum:unlocks/food/mint_beverages","<null>","-"
"spectrum:unlocks/food/moonshine","spectrum:unlocks/food/moonshine","<null>","-"
"spectrum:unlocks/food/myceylon_liquor","spectrum:unlocks/food/myceylon_liquor","<null>","-"
"spectrum:unlocks/food/myceylon_pastries","spectrum:unlocks/food/myceylon_pastries","<null>","-"
"spectrum:unlocks/food/nectardew_titration","spectrum:unlocks/food/nectardew_titration","<null>","-"
"spectrum:unlocks/food/rabbit_poison","spectrum:unlocks/food/rabbit_poison","<null>","-"
"spectrum:unlocks/food/reprise","spectrum:unlocks/food/reprise","<null>","-"
"spectrum:unlocks/food/restoration_tea","spectrum:unlocks/food/restoration_tea","<null>","-"
"spectrum:unlocks/food/rock_candy","spectrum:unlocks/food/rock_candy","<null>","-"
"spectrum:unlocks/food/sawblade_holly_titration","spectrum:unlocks/food/sawblade_holly_titration","<null>","-"
"spectrum:unlocks/food/spiked_mullet_wine","spectrum:unlocks/food/spiked_mullet_wine","<null>","-"
